order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender
O100103,C15675,P206575,Toys,36.89,0.15,1,Credit Card,2024-11-29,6,East,No,31.36,3.99,8.55,47,Female
O100104,C10161,P230123,Home,239.28,0.2,1,Credit Card,2024-11-14,4,South,No,191.42,8.6,45.0,69,Male
O100105,C14297,P204843,Home,36.94,0.0,1,COD,2023-10-23,7,South,No,36.94,5.01,5.33,49,Male
O100106,C11981,P227451,Toys,16.98,0.0,2,Credit Card,2024-11-21,4,North,No,33.96,4.16,9.42,19,Male
O100107,C10995,P207739,Home,101.74,0.0,2,Wallet,2024-06-08,6,East,No,203.48,7.89,49.08,54,Female
O100108,C16413,P214852,Toys,12.52,0.2,1,Credit Card,2024-07-11,3,North,No,10.02,2.22,1.79,51,Male
O100109,C14911,P249092,Home,111.08,0.0,1,Debit Card,2024-08-06,5,North,No,111.08,7.66,23.44,39,Male
O100110,C13342,P209157,Fashion,22.03,0.05,3,COD,2023-12-23,8,East,No,62.79,5.86,16.12,50,Female
O100111,C14551,P222406,Beauty,21.58,0.05,3,UPI,2023-12-04,3,North,No,61.5,5.64,22.04,60,Male
O100112,C17629,P247284,Fashion,61.89,0.05,1,COD,2025-01-21,4,South,No,58.8,7.65,12.93,28,Male
O100113,C13798,P245200,Electronics,70.98,0.0,2,UPI,2025-08-08,4,West,No,141.96,6.85,10.19,46,Female
O100114,C11275,P207432,Electronics,310.35749999999996,0.0,1,Credit Card,2024-10-29,4,South,No,392.75,7.91,83.88,69,Female
O100115,C11016,P218837,Fashion,13.88,0.0,1,Debit Card,2025-05-07,4,South,No,13.88,5.31,-0.45,63,Male
O100116,C17869,P215148,Sports,53.93,0.0,1,Debit Card,2025-06-03,5,North,No,53.93,5.21,10.97,57,Female
O100117,C16439,P211194,Toys,14.51,0.0,1,Credit Card,2025-08-04,5,East,No,14.51,4.15,1.65,48,Male
O100118,C17892,P232591,Toys,2.82,0.2,3,Credit Card,2025-05-06,5,West,No,6.77,3.43,-0.72,24,Other
O100119,C16863,P214819,Fashion,44.08,0.05,4,Wallet,2023-11-12,8,Central,No,167.5,7.43,51.19,36,Female
O100120,C17916,P206625,Sports,210.6,0.1,1,Credit Card,2023-09-15,4,South,No,189.54,9.21,47.65,66,Female
O100121,C10337,P207404,Fashion,118.71,0.0,1,COD,2025-02-04,3,North,No,118.71,6.57,34.98,61,Female
O100122,C10878,P214674,Beauty,12.67,0.0,2,PayPal,2025-01-20,6,South,No,25.34,3.95,7.45,42,Male
O100123,C11076,P210507,Grocery,11.77,0.2,1,COD,2025-04-06,7,East,No,9.42,1.0,-0.25,48,Female
O100124,C14887,P220387,Electronics,310.35749999999996,0.15,1,PayPal,2024-02-16,4,Central,Yes,392.75,9.4,45.41,28,Female
O100125,C13993,P218697,Grocery,4.84,0.0,1,COD,2023-11-18,6,South,No,4.84,1.46,-1.07,33,Female
O100126,C16360,P237391,Toys,16.78,0.0,2,Credit Card,2024-10-02,4,South,Yes,33.56,5.18,8.24,34,Female
O100127,C14859,P219547,Toys,10.98,0.0,1,Debit Card,2025-01-30,5,South,No,10.98,1.74,2.65,23,Female
O100128,C16331,P223570,Sports,56.72,0.0,2,COD,2024-02-26,6,East,No,113.44,8.53,25.5,38,Male
O100129,C10379,P239783,Toys,3.94,0.05,1,Credit Card,2025-06-09,5,Central,No,3.74,1.52,-0.02,62,Male
O100130,C10492,P228037,Grocery,7.88,0.2,1,Credit Card,2025-02-12,7,South,No,6.3,2.16,-1.66,27,Female
O100131,C17208,P230083,Toys,5.45,0.0,3,Wallet,2025-09-02,4,South,No,16.35,4.57,1.97,25,Female
O100132,C15276,P248029,Fashion,22.63,0.1,1,Credit Card,2024-06-06,7,East,No,20.37,3.95,3.18,65,Male
O100133,C12062,P240550,Beauty,12.82,0.0,1,Credit Card,2024-04-16,4,Central,No,12.82,3.74,2.03,18,Male
O100134,C13884,P237982,Fashion,32.69,0.15,1,UPI,2024-07-16,6,South,No,27.79,7.19,2.54,21,Male
O100135,C10064,P239706,Grocery,33.76,0.0,2,UPI,2024-07-26,6,South,No,67.52,5.44,-0.04,41,Female
O100136,C12568,P202988,Grocery,14.13,0.0,2,COD,2025-05-13,5,Central,No,28.26,5.99,-3.73,58,Female
O100137,C15463,P205156,Beauty,92.86,0.0,1,Credit Card,2025-04-03,5,South,No,92.86,7.23,34.56,51,Female
O100138,C15248,P238280,Toys,19.57,0.05,1,PayPal,2024-08-06,6,South,No,18.59,5.17,2.27,40,Male
O100139,C12027,P209788,Grocery,22.56,0.05,1,Debit Card,2023-11-21,3,North,No,21.43,5.71,-4.0,43,Female
O100140,C12695,P214185,Fashion,93.34,0.05,2,UPI,2024-03-05,5,Central,No,177.35,6.54,55.53,46,Female
O100141,C11495,P218734,Beauty,35.91,0.1,1,Debit Card,2023-12-19,5,North,No,32.32,5.16,9.38,49,Female
O100142,C17230,P209971,Home,155.94,0.0,1,PayPal,2023-09-27,4,Central,No,155.94,7.4,36.26,43,Female
O100143,C15258,P243408,Toys,12.64,0.1,2,PayPal,2025-02-13,7,North,No,22.75,4.33,4.77,52,Female
O100144,C15618,P206487,Home,120.29,0.0,1,COD,2024-02-24,5,West,No,120.29,7.36,26.32,31,Male
O100145,C16736,P220997,Sports,31.17,0.1,1,COD,2024-06-06,4,West,No,28.05,6.92,1.49,38,Female
O100146,C10391,P246456,Home,136.79,0.1,1,Credit Card,2023-12-11,4,West,No,123.11,6.32,28.15,37,Female
O100147,C15794,P212452,Electronics,284.7,0.0,1,Wallet,2024-10-16,6,North,No,284.7,9.1,25.06,50,Female
O100148,C14514,P215372,Electronics,310.35749999999996,0.0,2,Debit Card,2025-02-20,4,West,No,392.75,9.05,83.88,36,Female
O100149,C16432,P244767,Electronics,310.35749999999996,0.0,4,UPI,2023-12-19,6,East,No,392.75,11.85,83.88,19,Female
O100150,C14474,P213434,Electronics,96.31,0.0,4,UPI,2024-12-04,7,East,No,385.24,9.61,36.62,38,Female
O100151,C15892,P212416,Beauty,31.77,0.0,5,COD,2025-07-11,5,South,No,158.85,7.94,63.54,19,Female
O100152,C13561,P219248,Sports,304.67,0.0,2,UPI,2025-07-05,5,South,No,392.75,9.29,83.88,58,Female
O100153,C12278,P246713,Electronics,310.35749999999996,0.0,1,PayPal,2024-01-02,3,North,No,392.75,10.06,83.88,31,Female
O100154,C17161,P228194,Beauty,47.06,0.05,1,Debit Card,2024-03-17,3,Central,No,44.71,5.76,14.36,24,Male
O100155,C16184,P233785,Beauty,4.21,0.0,1,COD,2024-12-04,3,North,No,4.21,2.28,-0.39,25,Female
O100156,C13099,P237458,Electronics,144.57,0.0,2,Debit Card,2024-11-14,3,North,No,289.14,8.7,26.0,63,Male
O100157,C16278,P208373,Home,31.13,0.0,1,Credit Card,2023-09-18,3,North,No,31.13,3.29,5.43,28,Male
O100158,C10200,P230283,Sports,267.28,0.2,1,PayPal,2025-02-28,4,Central,No,213.82,7.25,56.9,52,Male
O100159,C15959,P229415,Electronics,310.35749999999996,0.05,1,Credit Card,2025-07-14,4,Central,No,392.75,8.66,48.24,45,Male
O100160,C14875,P226414,Electronics,296.62,0.2,2,Wallet,2024-02-27,4,North,No,392.75,8.71,48.24,36,Female
O100161,C17073,P214378,Grocery,52.12,0.0,1,COD,2025-07-09,4,South,No,52.12,6.56,-2.39,50,Female
O100162,C13104,P218336,Sports,31.3,0.0,1,Credit Card,2024-01-01,4,West,No,31.3,4.71,4.68,32,Male
O100163,C17215,P204700,Home,145.09,0.1,1,Debit Card,2024-11-10,3,Central,No,130.58,8.51,28.05,38,Male
O100164,C14598,P213901,Beauty,26.03,0.0,1,Debit Card,2024-04-08,4,West,No,26.03,7.52,4.19,44,Male
O100165,C12454,P224838,Toys,10.19,0.2,1,Credit Card,2024-02-12,6,West,No,8.15,3.7,-0.44,21,Male
O100166,C13645,P222597,Toys,15.07,0.0,3,UPI,2024-09-09,3,Central,No,45.21,6.94,11.14,26,Male
O100167,C15847,P233428,Fashion,18.2,0.05,2,PayPal,2025-04-26,6,West,No,34.58,5.84,6.26,22,Female
O100168,C10804,P240149,Home,158.84,0.1,1,Credit Card,2023-10-15,4,West,No,142.96,6.88,33.15,67,Female
O100169,C16242,P235687,Beauty,16.27,0.0,2,Debit Card,2025-07-18,5,South,No,32.54,4.52,10.12,39,Female
O100170,C12731,P229493,Electronics,57.75,0.0,1,UPI,2024-04-09,6,West,No,57.75,6.46,0.47,24,Male
O100171,C15991,P231852,Grocery,40.65,0.0,1,PayPal,2025-09-03,3,Central,No,40.65,4.89,-1.64,42,Female
O100172,C12773,P210932,Home,101.64,0.05,2,Wallet,2024-09-10,6,East,No,193.12,8.34,45.73,51,Female
O100173,C11570,P223009,Home,171.02,0.0,1,UPI,2025-07-27,3,Central,No,171.02,8.52,39.37,43,Male
O100174,C15056,P233583,Grocery,3.89,0.05,2,UPI,2024-08-09,4,Central,No,7.39,4.18,-3.59,55,Female
O100175,C17906,P247278,Electronics,94.23,0.0,2,Debit Card,2023-09-27,6,East,No,188.46,6.66,15.96,20,Male
O100176,C16756,P227994,Electronics,310.35749999999996,0.1,3,Credit Card,2025-09-06,6,South,No,392.75,9.81,83.88,45,Male
O100177,C15581,P229865,Sports,97.9,0.05,1,UPI,2025-07-31,3,North,No,93.0,7.45,20.45,50,Female
O100178,C12690,P212289,Home,99.52,0.0,1,UPI,2024-02-02,7,West,No,99.52,8.19,19.68,50,Male
O100179,C13840,P228293,Toys,16.48,0.0,1,UPI,2023-12-28,8,East,No,16.48,3.97,2.62,54,Female
O100180,C11028,P204734,Electronics,137.57,0.0,1,Wallet,2025-04-05,5,West,No,137.57,8.34,8.17,39,Female
O100181,C17385,P220013,Home,310.35749999999996,0.0,1,Credit Card,2024-02-03,4,North,No,331.04,6.99,83.88,34,Female
O100182,C10502,P235521,Fashion,16.85,0.0,2,PayPal,2024-11-05,6,West,No,33.7,3.4,8.4,67,Female
O100183,C16910,P206505,Sports,26.91,0.0,1,Debit Card,2024-11-13,4,North,No,26.91,2.99,5.08,37,Female
O100184,C14493,P244327,Fashion,135.78,0.1,1,COD,2024-11-10,5,East,No,122.2,8.48,34.29,45,Male
O100185,C10870,P247673,Home,49.21,0.0,1,Credit Card,2024-10-08,5,West,No,49.21,5.29,8.49,64,Female
O100186,C16938,P204685,Toys,41.02,0.0,2,Debit Card,2025-01-24,4,North,No,82.04,6.87,25.95,45,Male
O100187,C14488,P249353,Grocery,20.5,0.0,2,COD,2024-06-12,6,East,No,41.0,5.35,-2.07,40,Female
O100188,C10206,P218409,Sports,57.32,0.0,1,Credit Card,2024-03-13,3,Central,No,57.32,7.37,9.83,56,Female
O100189,C15134,P219517,Home,48.58,0.0,2,Wallet,2023-11-04,3,North,No,97.16,7.6,19.6,46,Female
O100190,C15977,P244533,Beauty,37.86,0.0,1,Credit Card,2024-09-14,4,North,No,37.86,5.8,11.24,66,Female
O100191,C17721,P230475,Sports,99.51,0.05,2,Credit Card,2025-04-08,3,North,No,189.07,8.19,48.53,22,Male
O100192,C17035,P236989,Toys,7.76,0.05,1,PayPal,2024-12-31,5,West,No,7.37,3.72,-0.77,55,Female
O100193,C11484,P215327,Grocery,30.17,0.15,1,Credit Card,2024-04-10,5,East,No,25.64,4.28,-2.23,29,Male
O100194,C17858,P203671,Grocery,17.81,0.2,1,Debit Card,2023-12-18,5,Central,No,14.25,4.86,-3.72,62,Male
O100195,C17742,P204941,Toys,49.2,0.0,1,Credit Card,2024-08-10,6,West,No,49.2,6.38,13.3,44,Female
O100196,C10863,P226372,Electronics,236.98,0.0,1,UPI,2025-08-01,4,South,No,236.98,8.56,19.88,63,Male
O100197,C12790,P212466,Sports,23.49,0.0,1,Credit Card,2025-01-24,4,West,No,23.49,4.42,2.63,42,Male
O100198,C17408,P218286,Toys,52.7,0.0,1,Credit Card,2025-06-30,5,West,No,52.7,7.0,14.08,35,Male
O100199,C10563,P244959,Toys,20.09,0.05,3,Credit Card,2025-05-24,6,East,No,57.26,7.4,15.5,32,Male
O100200,C15116,P204588,Grocery,13.27,0.0,4,COD,2025-07-23,5,Central,No,53.08,4.7,-0.45,40,Male
O100201,C14191,P228080,Home,125.56,0.0,1,UPI,2024-11-22,5,North,No,125.56,7.14,28.02,21,Male
O100202,C16019,P224544,Sports,72.87,0.0,1,Debit Card,2023-10-13,6,East,No,72.87,7.84,14.02,18,Female
O100203,C11757,P210811,Electronics,145.69,0.0,2,Credit Card,2025-04-18,7,Central,No,291.38,8.39,26.58,41,Female
O100204,C16628,P218733,Beauty,26.26,0.2,1,Debit Card,2024-12-16,5,South,No,21.01,4.51,4.94,24,Male
O100205,C17574,P240696,Home,176.95,0.2,1,Wallet,2024-01-03,6,East,No,141.56,7.16,32.48,18,Female
O100206,C16374,P248093,Grocery,33.7,0.0,1,COD,2024-09-25,5,East,No,33.7,6.42,-3.72,36,Male
O100207,C16892,P239888,Grocery,1.99,0.0,4,Debit Card,2025-04-21,4,Central,No,7.96,1.92,-1.28,25,Male
O100208,C11678,P247042,Toys,7.78,0.05,1,Debit Card,2024-06-23,3,North,No,7.39,1.92,1.04,65,Male
O100209,C13242,P230059,Electronics,310.35749999999996,0.0,1,COD,2023-09-16,3,North,No,392.75,9.75,54.72,68,Female
O100210,C14636,P237487,Home,206.49,0.0,1,Credit Card,2024-11-08,7,East,No,206.49,10.12,47.7,35,Male
O100211,C11059,P240849,Sports,33.43,0.0,1,Credit Card,2023-12-22,5,North,No,33.43,6.41,3.62,36,Female
O100212,C16668,P214550,Electronics,116.37,0.05,3,UPI,2023-12-28,8,East,No,331.65,8.23,31.57,56,Male
O100213,C15279,P249122,Fashion,27.49,0.0,2,UPI,2023-12-22,6,East,No,54.98,6.08,13.16,59,Male
O100214,C11722,P210864,Grocery,1.86,0.0,2,Credit Card,2024-05-06,3,Central,No,3.72,3.06,-2.76,32,Male
O100215,C13314,P225394,Electronics,310.35749999999996,0.0,1,Credit Card,2025-01-14,4,West,No,392.75,7.92,49.2,18,Male
O100216,C13157,P219061,Electronics,310.35749999999996,0.0,1,Debit Card,2024-05-11,4,North,No,392.75,8.95,40.27,48,Female
O100217,C15915,P249699,Beauty,50.95,0.3,1,Debit Card,2024-05-16,6,East,No,35.66,6.4,9.65,24,Female
O100218,C12625,P212624,Grocery,8.4,0.05,5,UPI,2024-02-03,4,South,No,39.9,6.54,-3.35,39,Male
O100219,C12729,P224934,Toys,21.91,0.0,1,Debit Card,2025-05-21,4,North,No,21.91,3.83,4.93,48,Male
O100220,C16700,P203361,Grocery,41.53,0.2,1,Credit Card,2023-11-24,3,North,No,33.22,4.47,-1.81,48,Male
O100221,C11597,P213707,Sports,310.35749999999996,0.0,1,Credit Card,2025-06-18,5,East,No,323.62,10.29,83.88,57,Male
